dst,cid,dci,next,pattern,Label
0,0,0,0,0,0
1,1,1,0,1,0
8,8,8,4,8,0
1,1,1,0,1,0
0,0,0,0,0,0
18,18,18,14,18,0
8,8,8,4,8,0
36,36,7,36,36,0
4,4,4,0,4,0
13,13,13,13,13,0
4,4,4,0,4,0
1,1,1,1,1,0
0,0,0,0,0,0
2,2,2,2,2,0
12,12,12,9,12,0
4,4,4,4,4,0
0,0,0,0,0,0
0,0,0,0,0,0
2,2,2,0,2,0
17,17,17,10,17,0
4,4,4,4,4,0
9,9,9,5,9,0
0,0,0,0,0,0
2,2,1,1,2,0
28,28,0,28,28,0
0,0,0,0,0,0
5,5,0,5,5,0
38,38,0,38,38,0
29,29,14,26,29,0
11,11,11,7,11,0
0,0,0,0,0,0
0,0,0,0,0,0
24,24,0,24,24,0
0,0,0,0,0,0
12,12,12,4,12,0
0,0,0,0,0,0
11,11,11,11,11,0
0,0,0,0,0,0
0,0,0,0,0,0
2,2,2,2,2,0
20,20,20,13,20,0
14,14,14,11,14,0
6,6,6,6,6,0
12,12,12,4,12,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4,4,4,1,4,0
1,1,1,0,1,0
32,32,3,29,32,0
1,1,1,1,1,0
0,0,0,0,0,0
0,0,0,0,0,0
2,2,0,2,2,0
27,27,0,27,27,0
3,3,3,3,3,0
8,8,6,5,8,0
20,20,1,20,20,0
23,23,0,23,23,0
6,6,0,6,6,0
17,17,0,17,17,0
7,7,0,7,7,0
3,3,0,3,3,0
17,17,0,17,17,0
14,14,2,13,14,0
16,16,2,14,16,0
13,13,9,9,13,0
4,4,4,0,4,0
0,0,0,0,0,0
0,0,0,0,0,0
21,21,21,18,21,0
11,11,11,7,11,0
64,64,6,60,64,0
7,7,7,7,7,0
1,1,1,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
8,8,8,4,8,0
19,19,19,12,19,0
4,4,4,0,4,0
17,17,17,12,17,0
7,7,7,7,7,0
0,0,0,0,0,0
0,0,0,0,0,0
2,2,2,2,2,0
18,18,18,11,18,0
1,1,1,1,1,0
0,0,0,0,0,0
1,1,1,1,1,0
19,19,19,12,19,0
2,2,2,2,2,0
19,19,19,14,19,0
10,10,10,10,10,0
0,0,0,0,0,0
29,29,0,29,29,0
0,0,0,0,0,0
5,5,5,1,5,0
4,4,0,4,4,0
19,19,4,16,19,0
6,6,5,6,6,0
12,12,12,5,12,0
3,3,3,3,3,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
